COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
719.4012991002431 km, 125 (dijkstra), 31 (a*)
3198.4571224687115 km, 1139 (dijkstra), 868 (a*)
1975.5196246509731 km, 1023 (dijkstra), 560 (a*)
2445.83723374758 km, 1004 (dijkstra), 466 (a*)
2385.3941652360245 km, 965 (dijkstra), 373 (a*)
4468.568418362679 km, 613 (dijkstra), 125 (a*)
1932.6448377429892 km, 784 (dijkstra), 330 (a*)
1914.099000554273 km, 856 (dijkstra), 325 (a*)
936.090564483066 km, 33 (dijkstra), 19 (a*)
2238.3592549209297 km, 874 (dijkstra), 376 (a*)
1666.3577977861048 km, 645 (dijkstra), 162 (a*)
78.35631970375147 km, 9 (dijkstra), 5 (a*)
4610.718210409524 km, 809 (dijkstra), 202 (a*)
5658.647593283564 km, 1042 (dijkstra), 436 (a*)
992.2230875270723 km, 804 (dijkstra), 202 (a*)
492.8145007152259 km, 266 (dijkstra), 55 (a*)
4723.204831700261 km, 953 (dijkstra), 197 (a*)
3213.8227056049095 km, 721 (dijkstra), 255 (a*)
1334.5974157311846 km, 585 (dijkstra), 56 (a*)
1206.0282973638316 km, 633 (dijkstra), 58 (a*)
1173.3676363208392 km, 616 (dijkstra), 126 (a*)
1277.846890962749 km, 600 (dijkstra), 400 (a*)
942.457709802544 km, 524 (dijkstra), 216 (a*)
748.3515003189582 km, 323 (dijkstra), 39 (a*)
398.53139717577466 km, 125 (dijkstra), 15 (a*)
467.5856543937416 km, 270 (dijkstra), 22 (a*)
1649.0649789634565 km, 827 (dijkstra), 84 (a*)
1167.180426155891 km, 629 (dijkstra), 39 (a*)
257.1107888079178 km, 114 (dijkstra), 15 (a*)
1601.5707452938095 km, 858 (dijkstra), 247 (a*)
342.3121153513558 km, 150 (dijkstra), 41 (a*)
2902.4044800245883 km, 411 (dijkstra), 70 (a*)
3563.4942655785517 km, 1156 (dijkstra), 233 (a*)
1519.9547419952862 km, 666 (dijkstra), 92 (a*)
2748.2514600777145 km, 1082 (dijkstra), 749 (a*)
